name,type,lat,long
Konrad Square,picnic table,39.9792032075161,-75.127701044561
Hagert Street Playground,picnic table,39.9834656547939,-75.1282409967639
Thomas P Stokley Recreation Center,picnic table,39.9820195457894,-75.1069271050162
Colonel Thomas J Powers Park,picnic table,39.9825193425726,-75.1089279835066
Michael Palmer Playground,picnic table,40.095947800516,-74.9892688809353
Saul High School Farm,picnic table,40.0493692587103,-75.2190748566157
Harry S McDevitt Playground,picnic table,40.0089181660145,-75.1873270397329
Marie Dendy Recreation Center,picnic table,39.9762371579378,-75.1508879754221
East Poplar Playground,picnic table,39.9661688913867,-75.1514598124086
Waterloo Playground,picnic table,39.9890750120801,-75.1327869064907
Waterloo Playground,picnic table,39.9881531265144,-75.1331564457793
Norris Square,picnic table,39.9825337139329,-75.1340380678874
Delancey Park,picnic table,39.9442445128645,-75.1480083805903
Schuylkill River Park,picnic table,39.948950504406,-75.1816674976774
Schuylkill River Park,picnic table,39.9482180390362,-75.1828204641232
East Fairmount Park,picnic table,39.9925745969281,-75.187605297399
Wissinoming Park,picnic table,40.0239169400454,-75.0704257767344
Belmont Plateau,picnic table,39.9891353089363,-75.210638711024
West Fairmount Park,picnic table,39.9815599744465,-75.2225722547208
South Philadelphia High School Park,picnic table,39.9237970806088,-75.1694939847595
Franklin Delano Roosevelt Park,picnic table,39.9041434477353,-75.1792156707245
John Dickinson Square,picnic table,39.9277706361751,-75.1513331845592
Columbus Square,picnic table,39.9332924041115,-75.1653664865922
Dr Nicola Capitolo Playground,picnic table,39.9335066369366,-75.1592051476686
Edward Shippen Plaza (Bainbridge Green),picnic table,39.9408248068668,-75.1506227794076
Edward Shippen Plaza (Bainbridge Green),picnic table,39.9406941492056,-75.1496861748324
Sister Clara Muhammad Square,picnic table,39.9715673924844,-75.21670385435
Albert W Christy Sr Recreation Center,picnic table,39.948698395555,-75.2350859546061
Franklin Delano Roosevelt Park,picnic table,39.9041771248004,-75.1786255753585
Ford Road Playground,picnic table,39.9997375016129,-75.2063515826307
Ford Road Playground,picnic table,39.9994427016509,-75.206129937823
